sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.3439;5.345;8.0457;-0.7648;5.5062;8.0829;-0.0989;-0.1617;-0.8731;0.0342;-0.1359;-0.0272;2.093;-5.16;-14.76;-20.44;102.36;-34.14;5.41;2.0;1002.59;24.127;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;15;2018-02-21 20:31:52:445
-0.3439;5.345;8.0457;-0.7648;5.5062;8.0829;-0.0989;-0.1617;-0.8731;0.0342;-0.1359;-0.0272;2.093;-5.16;-14.76;-20.44;102.36;-34.14;5.41;2.0;1002.59;24.127;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;26;2018-02-21 20:31:52:456
-0.3439;5.345;8.0457;-0.9592;5.3533;8.1645;-0.0989;-0.1617;-0.8731;0.0342;-0.1359;-0.0272;2.093;-5.16;-14.76;-20.44;102.36;-34.14;5.41;2.0;1002.59;24.127;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;35;2018-02-21 20:31:52:465
-0.3439;5.345;8.0457;-0.9592;5.3533;8.1645;-0.0989;-0.1617;-0.8731;0.1788;0.0999;-0.0853;2.093;-5.16;-14.76;-20.44;102.36;-34.14;5.41;2.0;1002.59;24.127;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;46;2018-02-21 20:31:52:476
-0.3439;5.345;8.0457;-0.9592;5.3533;8.1645;-0.0989;-0.1617;-0.8731;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;24.127;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;55;2018-02-21 20:31:52:485
-0.3439;5.345;8.0457;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;66;2018-02-21 20:31:52:496
-0.3439;5.345;8.0457;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;75;2018-02-21 20:31:52:505
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;86;2018-02-21 20:31:52:516
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;96;2018-02-21 20:31:52:526
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;106;2018-02-21 20:31:52:536
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;116;2018-02-21 20:31:52:546
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;126;2018-02-21 20:31:52:556
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;135;2018-02-21 20:31:52:565
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;145;2018-02-21 20:31:52:575
0.2729;5.2892;8.3252;-0.9592;5.3533;8.1645;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;156;2018-02-21 20:31:52:586
0.2729;5.2892;8.3252;-0.4851;5.6089;8.0338;-1.4781;0.3894;-1.1181;0.1788;0.0999;-0.0853;2.093;-5.56;-14.96;-21.54;96.88;-33.07;6.7;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;166;2018-02-21 20:31:52:596
0.2729;5.2892;8.3252;-0.4851;5.6089;8.0338;-1.2052;1.3165;-0.4728;0.3743;-0.5343;0.68;2.093;-6.16;-14.71;-20.09;98.68;-34.87;3.46;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;176;2018-02-21 20:31:52:606
0.2729;5.2892;8.3252;-0.4851;5.6089;8.0338;-1.2052;1.3165;-0.4728;0.3743;-0.5343;0.68;2.093;-6.16;-14.71;-20.09;98.68;-34.87;3.46;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;186;2018-02-21 20:31:52:616
0.2729;5.2892;8.3252;-0.4851;5.6089;8.0338;-1.2052;1.3165;-0.4728;0.3743;-0.5343;0.68;2.093;-6.16;-14.71;-20.09;98.68;-34.87;3.46;2.0;1002.59;10.269;30.281075;-97.70938;483.6;532.9269256788153;;0.0;51.870968;;0 / 20;195;2018-02-21 20:31:52:625
