sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.1163;2.5453;9.522;1.8431;2.6242;9.2711;-0.8607;0.034;-1.5456;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;8;2018-02-21 20:29:58:857
3.1163;2.5453;9.522;1.8431;2.6242;9.2711;-0.8607;0.034;-1.5456;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;18;2018-02-21 20:29:58:867
3.1163;2.5453;9.522;1.8431;2.6242;9.2711;-0.8607;0.034;-1.5456;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;28;2018-02-21 20:29:58:877
3.1163;2.5453;9.522;1.8431;2.6242;9.2711;0.1421;-0.7311;-0.7878;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;38;2018-02-21 20:29:58:887
1.7713;2.0583;10.3833;1.8431;2.6242;9.2711;0.1421;-0.7311;-0.7878;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;47;2018-02-21 20:29:58:896
1.7713;2.0583;10.3833;1.8431;2.6242;9.2711;0.1421;-0.7311;-0.7878;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.82;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;58;2018-02-21 20:29:58:907
1.7713;2.0583;10.3833;1.8431;2.6242;9.2711;0.1421;-0.7311;-0.7878;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;67;2018-02-21 20:29:58:916
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4478;-0.0948;2.2035;29.3;-9.66;18.39;-27.99;9.79;-15.52;-11.24;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;78;2018-02-21 20:29:58:927
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;87;2018-02-21 20:29:58:936
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;98;2018-02-21 20:29:58:947
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;108;2018-02-21 20:29:58:957
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;118;2018-02-21 20:29:58:967
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;128;2018-02-21 20:29:58:977
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;137;2018-02-21 20:29:58:986
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;0.1421;-0.7311;-0.7878;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;148;2018-02-21 20:29:58:997
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;-1.1802;-0.8189;0.6681;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;158;2018-02-21 20:29:59:007
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;-1.1802;-0.8189;0.6681;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;168;2018-02-21 20:29:59:017
1.7713;2.0583;10.3833;1.7649;2.3529;9.3587;-1.1802;-0.8189;0.6681;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;177;2018-02-21 20:29:59:026
2.1162;3.517;9.264;1.7649;2.3529;9.3587;-1.1802;-0.8189;0.6681;-0.4566;0.2557;0.7897;29.3;-9.06;22.09;-30.39;6.5;-13.88;-10.68;2.0;1003.84;22.856;30.281076;-97.70932;478.77;532.4035811898309;;0.0;34.580647;;17 / 20;188;2018-02-21 20:29:59:037
