sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.0454;4.0859;8.1412;0.5487;3.4491;9.1673;-0.4703;-1.0503;0.2759;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.88;31.904;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;8;2018-02-21 20:28:29:984
1.0454;4.0859;8.1412;0.5487;3.4491;9.1673;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.88;31.904;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;17;2018-02-21 20:28:29:993
0.3376;4.6668;10.2065;0.5487;3.4491;9.1673;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.88;31.904;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;28;2018-02-21 20:28:30:004
0.3376;4.6668;10.2065;0.5487;3.4491;9.1673;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.88;31.904;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;37;2018-02-21 20:28:30:013
0.3376;4.6668;10.2065;0.5487;3.4491;9.1673;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.88;31.904;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;48;2018-02-21 20:28:30:024
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;57;2018-02-21 20:28:30:033
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;68;2018-02-21 20:28:30:044
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;77;2018-02-21 20:28:30:053
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;88;2018-02-21 20:28:30:064
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;97;2018-02-21 20:28:30:073
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-7.86;19.89;-37.09;10.27;-20.58;-3.43;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;108;2018-02-21 20:28:30:084
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;-0.099;0.2929;-0.0046;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;118;2018-02-21 20:28:30:094
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.4794;-0.9683;-2.1064;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;128;2018-02-21 20:28:30:104
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;138;2018-02-21 20:28:30:114
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;148;2018-02-21 20:28:30:124
0.3376;4.6668;10.2065;0.3898;3.2376;9.2521;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;157;2018-02-21 20:28:30:133
-0.0864;3.517;10.3976;0.3898;3.2376;9.2521;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;168;2018-02-21 20:28:30:144
-0.0864;3.517;10.3976;0.3898;3.2376;9.2521;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;177;2018-02-21 20:28:30:153
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;188;2018-02-21 20:28:30:164
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;197;2018-02-21 20:28:30:173
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;208;2018-02-21 20:28:30:184
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;217;2018-02-21 20:28:30:193
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-8.46;20.84;-37.04;11.32;-19.27;-2.41;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;228;2018-02-21 20:28:30:204
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.5209;0.0735;-0.8318;0.0806;0.3274;0.228;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;237;2018-02-21 20:28:30:213
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.89;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;248;2018-02-21 20:28:30:224
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;258;2018-02-21 20:28:30:234
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;268;2018-02-21 20:28:30:244
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;277;2018-02-21 20:28:30:253
-0.0864;3.517;10.3976;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;288;2018-02-21 20:28:30:264
-0.6816;3.3792;8.3168;0.093;3.4621;9.1783;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;297;2018-02-21 20:28:30:273
-0.6816;3.3792;8.3168;-0.0022;3.4705;9.1756;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;308;2018-02-21 20:28:30:284
-0.6816;3.3792;8.3168;-0.0022;3.4705;9.1756;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;318;2018-02-21 20:28:30:294
-0.6816;3.3792;8.3168;-0.0022;3.4705;9.1756;0.6898;0.0402;0.7536;-0.057;0.2453;0.4977;0.281;-7.26;20.24;-37.49;11.77;-20.67;-0.58;2.0;1003.88;33.465;30.280672;-97.70976;497.52;NaN;;2.23;38.038708;89.4;16 / 22;328;2018-02-21 20:28:30:304
